names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
César González y Ainhoa Moran,252,6,4,5,6,5,26,0
Gonzalo Ugarte y Emilie Leana,253,4,6,6,5,5,26,0
Sebastián R. León y Nicole Alondra Torres,254,6,5,6,7,6,30,1
José Luis Sagastegui y Andrea Lucía Mendoza,255,6,6,6,7,5,30,1
Jhostyn Vicente y Giuliana Monterroso,256,6,6,6,7,6,31,1
