names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Adriano Salas y Zoe S. Gómez ,286,6,6,6,6,5,29,1
Jesús M. Zúñiga y Fátima Osio Vélez ,287,4,4,5,4,4,21,0
Axel Pardo Paredes y Eliana Garrido ,288,5,5,6,5,6,27,1
Matías Díaz y Ami Kennice Rodríguez ,289,4,4,4,3,4,19,0
Yerik Dasan Charcape y Irene Jannel Charcape ,290,4,4,4,3,4,19,0
Juan Diego Vargas y Almudena Hernández,291,6,6,6,6,5,29,1
