names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Mateo Salazar y Lena Manco,201,5,4,5,5,4,23,1
Steve Giménez y Matilde Medrano ,241,6,6,6,6,6,30,1
