names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Jack Ramos y Alba Benavides ,243,5,5,6,6,4,26,1
Aron Ayala y Joyce Pérez ,244,6,6,7,6,5,30,1
